"CPSID","COUNTY","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FAMINC","female","hispanic","black","kids","elderly","education","married","femhispanic"
"20211102059300","0",3796.0249,4,57.5,3,3,3,2,2,6,230,3,1,0,0,2,0,1,2,0
"20211102061100","0",3796.0249,4,40,1,1,1,99,99,0,160,1,2,0,0,2,0,1,2,0
"20211102061100","0",3796.0249,4,40,1,1,1,99,99,0,160,1,2,0,0,2,0,1,2,0
"20211102061100","0",3796.0249,4,40,1,1,1,99,99,0,160,1,2,0,0,2,0,1,2,0
"20211102061100","0",3796.0249,4,40,1,1,1,99,99,0,160,1,2,0,0,2,0,1,2,0
"20211102064000","0",3796.0249,6,58.3333333333333,1,1,1,99,99,0,350,1,2,0,0,4,0,2,2,0
"20211102064000","0",3796.0249,6,58.3333333333333,1,1,1,99,99,0,350,1,2,0,0,4,0,2,2,0
"20211102064000","0",3796.0249,6,58.3333333333333,1,1,1,99,99,0,350,1,2,0,0,4,0,2,2,0
"20211102064000","0",3796.0249,6,58.3333333333333,1,1,1,99,99,0,350,1,2,0,0,4,0,2,2,0
"20211102064000","0",3796.0249,6,58.3333333333333,1,1,1,99,99,0,350,1,2,0,0,4,0,2,2,0
"20211102064000","0",3796.0249,6,58.3333333333333,1,1,1,99,99,0,350,1,2,0,0,4,0,2,2,0
"20211102069200","17111",3796.0249,2,185,1,1,1,99,99,0,370,1,1,0,0,0,0,2,2,0
"20211102069200","17111",3796.0249,2,185,1,1,1,99,99,0,370,1,1,0,0,0,0,2,2,0
"20211102072500","0",3796.0249,4,249.75,99,99,99,99,99,99,999,99,3,0,0,2,0,2,2,0
"20211102072500","0",3796.0249,4,249.75,99,99,99,99,99,99,999,99,3,0,0,2,0,2,2,0
"20211102072500","0",3796.0249,4,249.75,99,99,99,99,99,99,999,99,3,0,0,2,0,2,2,0
"20211102072500","0",3796.0249,4,249.75,99,99,99,99,99,99,999,99,3,0,0,2,0,2,2,0
"20211102073100","0",3918.3489,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,2,0,2,0
"20211102073100","0",3918.3489,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,2,0,2,0
"20211102073200","17179",4393.9588,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,0,0,0,0
"20211102073200","17179",4393.9588,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,0,0,0,0
"20211102076700","0",3478.9399,2,0,1,1,1,99,99,0,0,1,1,0,0,0,2,1,2,0
"20211102076700","0",3478.9399,2,0,1,1,1,99,99,0,0,1,1,0,0,0,2,1,2,0
"20211102077300","0",3940.6738,3,333,99,99,99,99,99,99,999,99,2,0,0,1,0,2,0,0
"20211102077300","0",3940.6738,3,333,99,99,99,99,99,99,999,99,2,0,0,1,0,2,0,0
"20211102077300","0",3940.6738,3,333,99,99,99,99,99,99,999,99,2,0,0,1,0,2,0,0
"20211102079000","0",3954.9211,2,0,1,1,1,99,99,0,0,1,1,0,0,0,2,1,2,0
"20211102079000","0",3954.9211,2,0,1,1,1,99,99,0,0,1,1,0,0,0,2,1,2,0
"20211102079900","0",6665.6536,2,90,1,1,1,99,99,0,180,1,1,1,2,0,2,1,2,0
"20211102079900","0",6665.6536,2,90,1,1,1,99,99,0,180,1,1,1,2,0,2,1,2,0
"20211102086800","0",4470.9203,5,84,1,1,1,99,99,0,420,1,3,0,0,1,0,2,2,0
"20211102086800","0",4470.9203,5,84,1,1,1,99,99,0,420,1,3,0,0,1,0,2,2,0
"20211102086800","0",4470.9203,5,84,1,1,1,99,99,0,420,1,3,0,0,1,0,2,2,0
"20211102086800","0",4470.9203,5,84,1,1,1,99,99,0,420,1,3,0,0,1,0,2,2,0
"20211102086800","0",4470.9203,5,84,1,1,1,99,99,0,420,1,3,0,0,1,0,2,2,0
"20211102087400","0",3337.1428,4,30,1,1,2,1,1,0,120,1,1,4,0,1,0,0,2,0
"20211102087400","0",3337.1428,4,30,1,1,2,1,1,0,120,1,1,4,0,1,0,0,2,0
"20211102087400","0",3337.1428,4,30,1,1,2,1,1,0,120,1,1,4,0,1,0,0,2,0
"20211102087400","0",3337.1428,4,30,1,1,2,1,1,0,120,1,1,4,0,1,0,0,2,0
"20211102087800","0",4400.3211,1,0,1,1,2,1,1,0,0,1,1,0,0,0,0,1,0,0
"20211102091000","0",3476.9158,4,102.5,1,1,1,99,99,0,410,1,1,0,0,2,0,2,2,0
"20211102091000","0",3476.9158,4,102.5,1,1,1,99,99,0,410,1,1,0,0,2,0,2,2,0
"20211102091000","0",3476.9158,4,102.5,1,1,1,99,99,0,410,1,1,0,0,2,0,2,2,0
"20211102091000","0",3476.9158,4,102.5,1,1,1,99,99,0,410,1,1,0,0,2,0,2,2,0
"20211102091100","0",4419.0241,3,100,1,1,1,99,99,0,300,1,2,0,0,1,0,1,0,0
"20211102091100","0",4419.0241,3,100,1,1,1,99,99,0,300,1,2,0,0,1,0,1,0,0
"20211102091100","0",4419.0241,3,100,1,1,1,99,99,0,300,1,2,0,0,1,0,1,0,0
"20211102091200","0",4110.2868,5,106,1,1,1,99,99,0,530,1,1,0,0,3,0,2,2,0
"20211102091200","0",4110.2868,5,106,1,1,1,99,99,0,530,1,1,0,0,3,0,2,2,0
"20211102091200","0",4110.2868,5,106,1,1,1,99,99,0,530,1,1,0,0,3,0,2,2,0
"20211102091200","0",4110.2868,5,106,1,1,1,99,99,0,530,1,1,0,0,3,0,2,2,0
"20211102091200","0",4110.2868,5,106,1,1,1,99,99,0,530,1,1,0,0,3,0,2,2,0
"20211102092400","0",3476.9158,2,90,1,1,1,99,99,0,180,1,1,0,0,0,0,2,2,0
"20211102092400","0",3476.9158,2,90,1,1,1,99,99,0,180,1,1,0,0,0,0,2,2,0
"20211102092600","0",4097.1851,3,76.6666666666667,1,1,1,99,99,0,230,1,2,0,0,0,0,2,2,0
"20211102092600","0",4097.1851,3,76.6666666666667,1,1,1,99,99,0,230,1,2,0,0,0,0,2,2,0
"20211102092600","0",4097.1851,3,76.6666666666667,1,1,1,99,99,0,230,1,2,0,0,0,0,2,2,0
"20211102094400","0",3796.0249,4,62.5,1,1,1,99,99,0,250,1,3,0,0,3,0,1,0,0
"20211102094400","0",3796.0249,4,62.5,1,1,1,99,99,0,250,1,3,0,0,3,0,1,0,0
"20211102094400","0",3796.0249,4,62.5,1,1,1,99,99,0,250,1,3,0,0,3,0,1,0,0
"20211102094400","0",3796.0249,4,62.5,1,1,1,99,99,0,250,1,3,0,0,3,0,1,0,0
"20211102094900","0",7463.2361,3,76.6666666666667,1,1,2,1,1,0,230,1,2,0,3,0,0,2,0,0
"20211102094900","0",7463.2361,3,76.6666666666667,1,1,2,1,1,0,230,1,2,0,3,0,0,2,0,0
"20211102094900","0",7463.2361,3,76.6666666666667,1,1,2,1,1,0,230,1,2,0,3,0,0,2,0,0
"20211102096000","0",4419.0241,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,0,1,2,0
"20211102096000","0",4419.0241,2,499.5,99,99,99,99,99,99,999,99,1,0,0,0,0,1,2,0
"20211102096200","0",4110.2868,6,25,1,1,1,99,99,0,150,1,2,0,0,2,0,2,2,0
"20211102096200","0",4110.2868,6,25,1,1,1,99,99,0,150,1,2,0,0,2,0,2,2,0
"20211102096200","0",4110.2868,6,25,1,1,1,99,99,0,150,1,2,0,0,2,0,2,2,0
"20211102096200","0",4110.2868,6,25,1,1,1,99,99,0,150,1,2,0,0,2,0,2,2,0
"20211102096200","0",4110.2868,6,25,1,1,1,99,99,0,150,1,2,0,0,2,0,2,2,0
"20211102096200","0",4110.2868,6,25,1,1,1,99,99,0,150,1,2,0,0,2,0,2,2,0
"20211102097000","0",4470.9203,4,107.5,1,1,1,99,99,0,430,1,3,0,0,1,0,2,2,0
